,Name of movie,Year of release,Genre,Movie Rating,Votes,Gross,Summary,Director,Cast
38,Airlift,2016,"Action, Drama, History",  7.9 ,"56,520",****,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Raja Menon,"['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra', 'Prakash Belawadi']"
39,Special Chabbis,2013,"Crime, Drama, Thriller",  8.0 ,"55,640",$1.08M,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Neeraj Pandey,"['Akshay Kumar', 'Anupam Kher', 'Manoj Bajpayee', 'Jimmy Shergill']"
40,The Lunchbox,2013,"Drama, Romance",  7.8 ,"55,442",$4.23M,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Ritesh Batra,"['Irrfan Khan', 'Nimrat Kaur', 'Nawazuddin Siddiqui', 'Lillete Dubey']"
41,Sholay,1975,"Action, Adventure, Comedy",  8.1 ,"55,097",****,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Ramesh Sippy,"['Sanjeev Kumar', 'Dharmendra', 'Amitabh Bachchan', 'Amjad Khan']"
42,Haider,2014,"Action, Crime, Drama",  8.1 ,"54,565",$0.90M,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Vishal Bhardwaj,"['Shahid Kapoor', 'Tabu', 'Shraddha Kapoor', 'Kay Kay Menon']"
43,Jab Tak Hai Jaan,2012,"Drama, Romance",  6.7 ,"54,350",$3.05M,A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.,Yash Chopra,"['Shah Rukh Khan', 'Katrina Kaif', 'Anushka Sharma', 'Anupam Kher']"
44,M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport",  7.9 ,"54,115",$1.78M,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,Neeraj Pandey,"['Sushant Singh Rajput', 'Abhinay Raj Singh', 'Kiara Advani', 'Anupam Kher']"
45,Chennai Express,2013,"Action, Adventure, Comedy",  6.0 ,"53,607",$5.31M,A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,Rohit Shetty,"['Deepika Padukone', 'Shah Rukh Khan', 'Sathyaraj', 'Abhinay Raj Singh']"
46,Sanju,2018,"Biography, Comedy, Drama",  7.6 ,"53,390",$7.91M,"Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life.",Rajkumar Hirani,"['Ranbir Kapoor', 'Paresh Rawal', 'Manisha Koirala', 'Vicky Kaushal']"
47,Andaz Apna Apna,1994,"Action, Comedy, Romance",  8.0 ,"52,908",****,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Rajkumar Santoshi,"['Aamir Khan', 'Salman Khan', 'Raveena Tandon', 'Karisma Kapoor']"
48,Don 2,2011,"Action, Crime, Thriller",  7.0 ,"52,521",$3.68M,"Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.",Farhan Akhtar,"['Shah Rukh Khan', 'Florian Lukas', 'Om Puri', 'Priyanka Chopra Jonas']"
49,Veer-Zaara,2004,"Drama, Family, Musical",  7.8 ,"52,359",$2.92M,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Yash Chopra,"['Shah Rukh Khan', 'Preity Zinta', 'Rani Mukerji', 'Kirron Kher']"
